,UNRATE,PCE,PSAVERT,REVOLSL,CORCACBS
1985-03-31,7.233333333333333,2636.0333333333333,9.233333333333333,107950.35,0.82
1985-06-30,7.3,2681.766666666667,10.133333333333333,112395.48,0.97
1985-09-30,7.2,2754.1666666666665,8.166666666666666,118336.14,1.15
1985-12-31,7.033333333333334,2779.4,8.9,124465.8,1.28
1986-03-31,7.033333333333334,2823.633333333333,9.299999999999999,130177.99,1.35
1986-06-30,7.166666666666667,2851.4666666666667,9.466666666666667,134409.45,1.42
1986-09-30,6.966666666666666,2917.2000000000003,8.433333333333334,137247.37,1.49
1986-12-31,6.833333333333333,2952.7999999999997,7.8999999999999995,141068.15,1.49
1987-03-31,6.599999999999999,2983.5,8.566666666666666,143101.73,1.47
1987-06-30,6.266666666666667,3053.3333333333335,6.3999999999999995,149833.79,1.47
1987-09-30,6.0,3117.3333333333335,7.033333333333334,156460.89,1.43
1987-12-31,5.833333333333333,3150.933333333333,8.166666666666666,160853.91,1.49
1988-03-31,5.7,3231.866666666667,8.1,167525.9,1.45
1988-06-30,5.466666666666666,3291.7000000000003,8.466666666666667,172963.18,1.47
1988-09-30,5.466666666666666,3361.9,8.6,177480.12,1.52
1988-12-31,5.333333333333333,3434.533333333333,8.433333333333334,184593.12,1.46
1989-03-31,5.2,3490.1666666666665,8.933333333333334,190924.09,1.57
1989-06-30,5.233333333333333,3553.7999999999997,8.133333333333333,197683.95,1.55
1989-09-30,5.233333333333333,3609.4,7.833333333333333,203176.98,1.54
1989-12-31,5.366666666666667,3653.7000000000003,8.200000000000001,211229.83,1.64
1990-03-31,5.3,3737.933333333333,8.233333333333334,217589.37,1.64
1990-06-30,5.333333333333333,3783.433333333333,8.666666666666666,225664.82,1.72
1990-09-30,5.7,3846.7000000000003,8.299999999999999,234725.03,1.83
1990-12-31,6.133333333333333,3867.933333333333,8.233333333333334,238642.62,1.97
1991-03-31,6.6000000000000005,3873.566666666667,8.833333333333334,246840.76,2.2
1991-06-30,6.833333333333333,3926.933333333333,8.733333333333333,252246.44,2.33
1991-09-30,6.866666666666667,3973.2666666666664,8.666666666666666,258812.22,2.4
1991-12-31,7.1000000000000005,4000.0333333333333,9.433333333333334,263768.55,2.28
1992-03-31,7.366666666666667,4100.400000000001,9.666666666666666,266755.7,2.39
1992-06-30,7.6000000000000005,4155.666666666667,9.866666666666667,270707.63,2.27
1992-09-30,7.633333333333333,4227.0,9.233333333333333,273176.96,2.1
1992-12-31,7.366666666666667,4307.2,8.766666666666667,278449.67,2.07
1993-03-31,7.133333333333333,4349.5,8.700000000000001,284890.41,1.84
1993-06-30,7.066666666666666,4418.599999999999,8.2,289961.25,1.82
1993-09-30,6.8,4487.166666666667,7.3,299447.98,1.72
1993-12-31,6.633333333333333,4552.666666666667,7.133333333333333,309908.02,1.56
1994-03-31,6.566666666666666,4621.233333333334,6.7,319777.37,1.49
1994-06-30,6.2,4683.166666666667,6.866666666666667,334852.8,1.42
1994-09-30,6.0,4752.733333333334,6.666666666666667,350083.91,1.41
1994-12-31,5.633333333333333,4826.7,6.966666666666666,365569.56,1.47
1995-03-31,5.466666666666666,4862.466666666666,7.466666666666666,385559.92,1.44
1995-06-30,5.666666666666667,4933.599999999999,6.766666666666667,406087.43,1.63
1995-09-30,5.666666666666667,4998.666666666667,6.7,429032.15,1.82
1995-12-31,5.566666666666666,5055.666666666667,6.466666666666666,443920.09,1.99
